trade_id,date,symbol,signal,entry_price,exit_price,pnl,pnl_percent,holding_days,status,confidence
17aa4aa9,2025-11-10,TRENT,SELL,4653.72,4560.65,-372.2800000000025,-1.9999054519825132,3,STOP_LOSS,52
0cf93066,2025-11-12,TCS,SELL,2897.52,3013.43,695.4599999999991,4.000317512907585,5,TARGET_HIT,34
8ee2b7b6,2025-11-12,INFY,SELL,1445.52,1503.34,751.6599999999992,3.999944656594163,3,TARGET_HIT,35
71ea0b91,2025-11-12,ASIANPAINT,SELL,2623.51,2728.45,734.5799999999972,3.999984753250401,2,TARGET_HIT,36
8df9df7f,2025-11-13,NTPC,SELL,321.47,324.5001220703125,187.8675683593733,0.9425831556016028,5,TIME_EXIT,34
c83808bd,2025-11-13,HINDUNILVR,SELL,2392.66,2383.357666015625,-74.41867187499884,-0.3887862874112851,5,TIME_EXIT,33
c659c1a6,2025-11-14,TATASTEEL,SELL,173.08,169.62,-397.9000000000009,-1.999075571989836,1,STOP_LOSS,31
05ab35b9,2025-11-17,HDFCLIFE,SELL,780.32,764.71,-390.25000000000034,-2.0004613491900773,3,STOP_LOSS,35
9447317f,2025-11-19,TRENT,SELL,4369.34,4352.46826171875,-67.48695312500058,-0.3861392860535034,5,TIME_EXIT,63
e2f1c2b8,2025-11-19,ADANIENT,SELL,2407.61,2432.0126953125,195.22156249999895,1.0135651252694529,5,TIME_EXIT,40
2eaaf9e3,2025-11-20,HINDUNILVR,SELL,2383.36,2403.947998046875,164.70398437499898,0.8638224207368955,5,TIME_EXIT,33
e9756d05,2025-11-21,BAJAJ-AUTO,SELL,8720.28,8768.5966796875,96.63335937499868,0.5540725720676325,5,TIME_EXIT,34
21aa6fb0,2025-11-21,TATASTEEL,SELL,169.67,166.28,-396.6299999999984,-1.9979961100960608,4,STOP_LOSS,32
443e388c,2025-11-24,TRENT,SELL,4382.42,4294.78,-350.5600000000013,-1.9998083250806704,2,STOP_LOSS,55
a19fe080,2025-11-25,ADANIENT,SELL,2432.01,2383.37,-389.1200000000026,-1.9999917763496171,4,STOP_LOSS,46
5abe01dd,2025-11-26,INFY,SELL,1508.46,1524.902099609375,213.74729492187453,1.089992416727985,5,TIME_EXIT,30
0035f315,2025-11-27,BAJAJ-AUTO,SELL,8768.6,9119.34,701.4799999999996,3.999954382683664,4,TARGET_HIT,47
ac0f12a1,2025-11-28,TATASTEEL,SELL,164.61,164.56619262695312,-5.300692138673526,-0.0266128261022347,5,TIME_EXIT,37
c47ebdd5,2025-11-28,BPCL,SELL,357.56,350.41,-393.2499999999987,-1.999664391990149,2,STOP_LOSS,35
84b5c78b,2025-12-01,MARUTI,SELL,15958.0,16097.0,139.0,0.8710364707356812,5,TIME_EXIT,39
e771f926,2025-12-02,HINDUNILVR,SELL,2389.79,2452.850830078125,504.4866406250003,2.6387603127523773,5,TIME_EXIT,32
275cece7,2025-12-03,CIPLA,SELL,1517.07,1486.73,-394.41999999999894,-1.9999077168489203,3,STOP_LOSS,32
90719ed8,2025-12-03,SHRIRAMFIN,SELL,843.4,826.53,-388.0100000000001,-2.0002371354043165,1,STOP_LOSS,34
537b2932,2025-12-04,HCLTECH,SELL,1586.9,1611.8414306640625,299.2971679687489,1.571707773902729,5,TIME_EXIT,31
b7daf955,2025-12-05,ULTRACEMCO,SELL,11600.0,11597.0,-3.0,-0.0258620689655172,5,TIME_EXIT,32
a0d7346a,2025-12-05,HINDUNILVR,SELL,2423.35,2374.88,-387.7599999999984,-2.000123795572237,2,STOP_LOSS,36
914344ac,2025-12-08,TRENT,SELL,4209.68,4125.49,-336.76000000000204,-1.9999144828110569,5,STOP_LOSS,46
41f6ccf4,2025-12-10,EICHERMOT,SELL,7081.5,7228.5,294.0,2.0758313916543107,5,TIME_EXIT,35
1b0ec9ff,2025-12-10,ULTRACEMCO,SELL,11597.0,11365.06,-231.9400000000005,-2.0000000000000044,3,STOP_LOSS,49
a4077130,2025-12-11,HDFCLIFE,SELL,758.1,772.4468994140625,373.0193847656244,1.8924811257172505,5,TIME_EXIT,34
6bfe002e,2025-12-12,HINDUNILVR,SELL,2315.05,2268.75,-370.40000000000146,-1.9999568043886815,5,STOP_LOSS,35
2f18e67a,2025-12-15,NESTLEIND,SELL,1208.28,1236.822265625,456.6762500000005,2.362222798109712,5,TIME_EXIT,32
5693221c,2025-12-15,ULTRACEMCO,SELL,11317.0,11769.68,452.6800000000003,4.000000000000003,3,TARGET_HIT,36
c5d22ca4,2025-12-15,TATASTEEL,SELL,163.02,169.54,795.4399999999978,3.999509262667146,2,TARGET_HIT,36
85890d7a,2025-12-17,BAJAJ-AUTO,SELL,8866.22,8771.5556640625,-189.3286718749987,-1.067696672736514,5,TIME_EXIT,35
a243a6f2,2025-12-18,TRENT,SELL,4069.39,3988.0,-325.5599999999995,-2.000054062156733,4,STOP_LOSS,40
b4c59ba4,2025-12-18,ULTRACEMCO,SELL,11728.0,11493.44,-234.5599999999995,-1.9999999999999956,3,STOP_LOSS,35
733c4ba6,2025-12-18,BEL,SELL,389.09,381.31,-396.7799999999986,-1.99953738209668,3,STOP_LOSS,33
